analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
butyrate_assembly_2021,1,ok,17,5,12,5,OneNet,0.5163170163170163,0.625,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,Fixed mean,0.2837121212121212,0.4,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,PLNNetwork,0.2736134453781512,0.375,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,Poisson GLMNet,0.5054901960784315,0.5666666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,SparCC,0.4292997198879552,0.4166666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,SPIEC-EASI,0.2941176470588235,0.5,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,5,LENS restricted,0.2837121212121212,0.4,True,lambda=0.01,5.0,0.0,0.0,0.0
butyrate_assembly_2021,1,ok,17,5,12,5,LENS distributed,0.2837121212121212,0.4,True,lambda=0.01,4.0,1.0,0.2,0.0
butyrate_assembly_2021,1,ok,17,5,12,10,OneNet,0.5163170163170163,0.625,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,Fixed mean,0.2837121212121212,0.4,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,PLNNetwork,0.2736134453781512,0.375,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,Poisson GLMNet,0.5054901960784315,0.5666666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,SparCC,0.4292997198879552,0.4166666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,SPIEC-EASI,0.2941176470588235,0.5,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,10,LENS restricted,0.2837121212121212,0.4,True,lambda=0.01,9.0,1.0,0.0,0.0
butyrate_assembly_2021,1,ok,17,5,12,10,LENS distributed,0.4481351981351981,0.5,False,lambda=10,7.0,3.0,0.3,0.1176470588235294
butyrate_assembly_2021,1,ok,17,5,12,13,OneNet,0.5163170163170163,0.625,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,Fixed mean,0.2837121212121212,0.4,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,PLNNetwork,0.2736134453781512,0.375,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,Poisson GLMNet,0.5054901960784315,0.5666666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,SparCC,0.4292997198879552,0.4166666666666667,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,SPIEC-EASI,0.2941176470588235,0.5,,,,,,
butyrate_assembly_2021,1,ok,17,5,12,13,LENS restricted,0.2837121212121212,0.4,True,lambda=10,11.0,2.0,0.0,0.0
butyrate_assembly_2021,1,ok,17,5,12,13,LENS distributed,0.4535897435897436,0.5166666666666666,False,lambda=10,10.0,3.0,0.4,0.2941176470588235
butyrate_assembly_2021,2,ok,30,22,8,5,OneNet,0.8073330333796391,0.5681818181818181,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,Fixed mean,0.702398541859328,0.4034090909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,PLNNetwork,0.7348244261680089,0.4431818181818182,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,Poisson GLMNet,0.6692534032005268,0.346590909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,SparCC,0.7916140016580823,0.5284090909090908,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,SPIEC-EASI,0.7454545454545454,0.5227272727272727,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,5,LENS restricted,0.702398541859328,0.4034090909090909,True,lambda=0.01,4.0,1.0,0.0,0.0
butyrate_assembly_2021,2,ok,30,22,8,5,LENS distributed,0.702398541859328,0.4034090909090909,True,lambda=0.01,5.0,0.0,0.3,0.1
butyrate_assembly_2021,2,ok,30,22,8,10,OneNet,0.8073330333796391,0.5681818181818181,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,Fixed mean,0.702398541859328,0.4034090909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,PLNNetwork,0.7348244261680089,0.4431818181818182,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,Poisson GLMNet,0.6692534032005268,0.346590909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,SparCC,0.7916140016580823,0.5284090909090908,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,SPIEC-EASI,0.7454545454545454,0.5227272727272727,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,10,LENS restricted,0.702398541859328,0.4034090909090909,True,lambda=0.01,9.0,1.0,0.0,0.0
butyrate_assembly_2021,2,ok,30,22,8,10,LENS distributed,0.702398541859328,0.4034090909090909,True,lambda=0.01,9.0,1.0,0.5,0.3333333333333333
butyrate_assembly_2021,2,ok,30,22,8,13,OneNet,0.8073330333796391,0.5681818181818181,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,Fixed mean,0.702398541859328,0.4034090909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,PLNNetwork,0.7348244261680089,0.4431818181818182,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,Poisson GLMNet,0.6692534032005268,0.346590909090909,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,SparCC,0.7916140016580823,0.5284090909090908,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,SPIEC-EASI,0.7454545454545454,0.5227272727272727,,,,,,
butyrate_assembly_2021,2,ok,30,22,8,13,LENS restricted,0.702398541859328,0.4034090909090909,True,lambda=0.01,12.0,1.0,0.0,0.0
butyrate_assembly_2021,2,ok,30,22,8,13,LENS distributed,0.702398541859328,0.4034090909090909,True,lambda=10,11.0,2.0,0.5,0.3333333333333333
butyrate_assembly_2021,5,ok,9,8,1,5,OneNet,0.9861111111111112,0.9375,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,Fixed mean,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,PLNNetwork,0.8755456349206349,0.25,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,Poisson GLMNet,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,SparCC,0.9526289682539684,0.625,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,SPIEC-EASI,0.8888888888888888,0.5,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,5,LENS restricted,0.9704861111111112,0.75,True,lambda=10,2.0,3.0,0.0,0.0
butyrate_assembly_2021,5,ok,9,8,1,5,LENS distributed,0.9704861111111112,0.75,True,lambda=10,3.0,2.0,0.2,0.0
butyrate_assembly_2021,5,ok,9,8,1,10,OneNet,0.9861111111111112,0.9375,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,Fixed mean,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,PLNNetwork,0.8755456349206349,0.25,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,Poisson GLMNet,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,SparCC,0.9526289682539684,0.625,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,SPIEC-EASI,0.8888888888888888,0.5,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,10,LENS restricted,0.9317956349206348,0.5,False,lambda=10,6.0,4.0,0.0,0.0
butyrate_assembly_2021,5,ok,9,8,1,10,LENS distributed,0.9317956349206348,0.5,False,lambda=10,7.0,3.0,0.5,0.4444444444444444
butyrate_assembly_2021,5,ok,9,8,1,13,OneNet,0.9861111111111112,0.9375,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,Fixed mean,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,PLNNetwork,0.8755456349206349,0.25,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,Poisson GLMNet,0.9704861111111112,0.75,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,SparCC,0.9526289682539684,0.625,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,SPIEC-EASI,0.8888888888888888,0.5,,,,,,
butyrate_assembly_2021,5,ok,9,8,1,13,LENS restricted,0.9704861111111112,0.75,False,lambda=10,8.0,5.0,0.0,0.0
butyrate_assembly_2021,5,ok,9,8,1,13,LENS distributed,0.9317956349206348,0.5,False,lambda=10,8.0,5.0,0.5,0.4444444444444444
butyrate_assembly_2021,6,ok,7,3,4,5,OneNet,0.365079365079365,0.1666666666666666,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,Fixed mean,0.4777777777777778,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,PLNNetwork,0.4206349206349206,0.4166666666666666,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,Poisson GLMNet,0.5333333333333333,0.5833333333333334,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,SparCC,0.4428571428571428,0.3333333333333333,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,SPIEC-EASI,0.4285714285714285,0.5,,,,,,
