dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
omm12_keystone_2023,I46,I48,1,positive,1.0,3.3,0.0,3.0
omm12_keystone_2023,I46,KB1,1,positive,1.0,3.3,0.0,3.0
omm12_keystone_2023,I46,YL58,1,positive,0.0,0.0,,0.0
omm12_keystone_2023,I48,KB1,1,positive,1.0,3.3,0.0,3.0
omm12_keystone_2023,I48,YL2,1,positive,1.0,2.3,0.0,2.0
omm12_keystone_2023,I48,YL27,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,I48,YL31,1,positive,1.0,4.006033962962011,9.247770384481984e-07,4.0
omm12_keystone_2023,I48,YL32,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,I48,YL44,1,positive,1.0,4.3,0.0,4.0
omm12_keystone_2023,I48,YL45,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,I48,YL58,1,positive,1.0,4.3,0.0,4.0
omm12_keystone_2023,KB1,YL2,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,KB1,YL27,1,positive,1.0,2.3,0.0,2.0
omm12_keystone_2023,KB1,YL31,1,positive,1.0,1.3,0.0,1.0
omm12_keystone_2023,KB1,YL32,1,positive,1.0,3.3,0.0,3.0
omm12_keystone_2023,KB1,YL44,1,positive,1.0,3.3,0.0,3.0
omm12_keystone_2023,KB1,YL45,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,KB1,YL58,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,YL2,YL58,1,positive,1.0,2.3,0.0,2.0
omm12_keystone_2023,YL27,YL58,1,positive,1.0,2.3,0.0,2.0
omm12_keystone_2023,YL31,YL58,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,YL32,YL58,1,positive,1.0,4.3,0.0,4.0
omm12_keystone_2023,YL44,YL58,1,positive,1.0,5.3,0.0,5.0
omm12_keystone_2023,YL45,YL58,1,positive,0.0,0.0,,0.0
